MSSubClass,MSZoning,LotArea,LotShape,LandContour,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Heating,CentralAir,Electrical,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageArea,MoSold,YrSold,SaleCondition,SalePrice,TotalSF
120,RL,7313,Reg,Lvl,TwnhsE,1Story,9,5,2005,GasA,Y,SBrkr,1561,2,2,1,6,1,Attchd,556,8,2007,Normal,277500,3122
60,RL,13418,Reg,Lvl,1Fam,2Story,8,5,2004,GasA,Y,SBrkr,2452,3,4,1,9,1,BuiltIn,691,9,2006,Normal,309000,3569
20,RL,10859,Reg,Lvl,1Fam,1Story,5,5,1994,GasA,Y,SBrkr,1097,1,3,1,6,0,Attchd,672,6,2009,Normal,145000,2194
20,RL,8532,Reg,Lvl,1Fam,1Story,5,6,1954,GasA,Y,SBrkr,1297,1,3,1,5,1,Attchd,498,10,2009,Normal,153000,2594
20,RL,7922,Reg,Lvl,1Fam,1Story,5,7,1953,GasA,Y,SBrkr,1057,1,3,1,5,0,Detchd,246,1,2010,Abnorml,109000,2114
90,RL,6040,Reg,Lvl,Duplex,1Story,4,5,1955,GasA,N,FuseP,1152,2,2,2,6,0,,0,6,2008,AdjLand,82000,1152
20,RL,8658,Reg,Lvl,1Fam,1Story,6,5,1965,GasA,Y,SBrkr,1324,2,3,1,6,1,Attchd,440,12,2006,Abnorml,160000,2412
20,RL,16905,Reg,Lvl,1Fam,1Story,5,6,1959,GasA,Y,SBrkr,1328,1,2,1,5,2,Attchd,308,7,2007,Normal,170000,2678
85,RL,9180,IR1,Lvl,1Fam,SFoyer,5,7,1983,GasA,Y,SBrkr,884,1,2,1,5,0,Attchd,504,12,2007,Normal,144000,1724
20,RL,9200,IR1,Lvl,1Fam,1Story,5,6,1975,GasA,Y,SBrkr,938,1,3,1,5,0,Detchd,308,7,2008,Normal,130250,1876
20,RL,7945,Reg,Lvl,1Fam,1Story,5,6,1959,GasA,Y,FuseA,1150,1,3,1,6,0,Attchd,300,5,2006,Normal,141000,2300
120,RL,7658,Reg,Lvl,TwnhsE,1Story,9,5,2005,GasA,Y,SBrkr,1752,2,2,1,6,1,Attchd,576,2,2010,Normal,319900,3504
50,RL,12822,IR1,Lvl,1Fam,1.5Fin,7,5,2003,GasA,Y,SBrkr,2149,1,1,1,6,1,Attchd,670,8,2009,Abnorml,239686,3583
20,FV,11096,Reg,Lvl,1Fam,1Story,8,5,2006,GasA,Y,SBrkr,1656,2,3,1,7,0,Attchd,826,7,2007,Normal,249700,3312
190,RM,4456,Reg,Lvl,2fmCon,2Story,4,5,1920,GasA,Y,SBrkr,1452,2,2,3,8,0,,0,6,2009,Partial,113000,2188
20,RL,7742,Reg,Lvl,1Fam,1Story,5,7,1966,GasA,Y,SBrkr,955,1,3,1,6,0,Attchd,386,1,2007,Normal,127000,1910
60,RL,13869,IR2,Lvl,1Fam,2Story,6,6,1997,GasA,Y,SBrkr,1470,2,3,1,6,0,Attchd,388,7,2007,Normal,177000,2264
50,RM,6240,Reg,Lvl,1Fam,1.5Fin,6,6,1934,GasA,Y,SBrkr,1176,1,3,1,6,1,Detchd,528,9,2006,Normal,114500,1632
90,RM,8472,IR2,Bnk,Duplex,1Story,5,5,1963,GasA,N,SBrkr,816,1,2,1,5,0,CarPort,516,5,2010,Normal,110000,1632
20,RL,50271,IR1,Low,1Fam,1Story,9,5,1981,GasA,Y,SBrkr,1842,0,0,1,5,1,Attchd,894,11,2006,Normal,385000,3684
80,RL,7134,Reg,Bnk,1Fam,SLvl,5,5,1955,GasA,Y,SBrkr,1360,1,3,1,6,1,Detchd,572,2,2007,Normal,130000,1744
20,RL,10175,IR1,Lvl,1Fam,1Story,6,5,1964,GasA,Y,SBrkr,1425,2,3,1,7,1,Attchd,576,7,2008,Normal,180500,2850
160,FV,2645,Reg,Lvl,Twnhs,2Story,8,5,1999,GasA,Y,SBrkr,1739,2,3,1,7,0,Attchd,480,8,2009,Abnorml,172500,2709
60,RL,11645,IR1,Lvl,1Fam,2Story,7,5,2004,GasA,Y,SBrkr,1720,2,3,1,7,0,Attchd,565,8,2006,Normal,196500,2580
60,RL,13682,IR2,HLS,1Fam,2Story,10,5,2006,GasA,Y,SBrkr,2945,3,3,1,10,1,BuiltIn,641,10,2006,Partial,438780,4355
20,RL,7200,Reg,Bnk,1Fam,1Story,5,7,1972,GasA,Y,SBrkr,780,1,2,1,4,0,Detchd,352,1,2008,Normal,124900,1560
20,RL,13072,Reg,Lvl,1Fam,1Story,6,5,2004,GasA,Y,SBrkr,1158,1,3,1,5,0,Detchd,576,5,2006,Partial,158000,2316
75,RM,7200,Reg,Lvl,1Fam,2.5Unf,5,7,1920,GasA,N,SBrkr,1111,1,3,1,6,0,Detchd,288,3,2007,Normal,101000,1641
120,RL,6442,IR1,Lvl,TwnhsE,1Story,8,5,2006,GasA,Y,SBrkr,1370,2,2,1,6,1,Attchd,484,10,2007,Normal,202500,2740
70,RM,10300,IR1,Bnk,1Fam,2Story,7,6,1921,GasA,Y,SBrkr,1710,2,3,1,9,0,Detchd,480,4,2010,Normal,140000,2286
60,RL,9375,Reg,Lvl,1Fam,2Story,7,5,1997,GasA,Y,SBrkr,2034,2,3,1,8,0,Attchd,645,2,2009,Normal,219500,3091
60,RL,9591,Reg,Lvl,1Fam,2Story,8,5,2004,GasA,Y,SBrkr,2473,2,4,1,9,1,BuiltIn,852,10,2007,Normal,317000,3616
20,RL,19900,Reg,Lvl,1Fam,1Story,7,5,1970,GasA,Y,SBrkr,2207,2,3,1,7,1,Attchd,576,7,2010,Normal,180000,4154
20,RL,10665,IR1,Lvl,1Fam,1Story,7,5,2003,GasA,Y,SBrkr,1479,2,3,1,7,0,Attchd,558,6,2007,Normal,226000,2932
30,RM,4608,Reg,Lvl,1Fam,1Story,4,6,1945,GasA,Y,SBrkr,747,1,2,1,4,0,Attchd,220,6,2010,Normal,80000,1494
50,RL,15593,Reg,Lvl,1Fam,1.5Fin,7,4,1953,GasW,Y,SBrkr,2287,2,3,1,7,1,Attchd,667,7,2006,Normal,225000,3591
20,RL,13651,IR1,Lvl,1Fam,1Story,7,6,1973,GasA,Y,SBrkr,2223,2,3,1,8,2,Attchd,516,2,2007,Normal,244000,4446
20,RL,7599,Reg,Lvl,1Fam,1Story,4,6,1982,GasA,Y,SBrkr,845,1,2,1,4,0,Detchd,360,6,2007,Normal,129500,1690
60,RL,10141,IR1,Lvl,1Fam,2Story,7,5,1998,GasA,Y,SBrkr,1718,2,3,1,7,1,Attchd,427,12,2009,Normal,185000,2550
20,RL,10200,Reg,Lvl,1Fam,1Story,5,7,1954,GasA,Y,SBrkr,1086,1,3,1,6,0,Attchd,490,5,2010,Normal,144900,2172
50,RM,5790,Reg,Lvl,1Fam,2Story,3,6,1915,GasA,N,SBrkr,1605,2,3,2,8,0,Detchd,379,5,2010,Normal,107400,2445
180,RM,1596,Reg,Lvl,Twnhs,SLvl,4,5,1973,GasA,Y,SBrkr,988,1,2,1,5,0,BuiltIn,297,11,2009,Normal,91000,1450
20,RL,8475,IR1,Lvl,1Fam,1Story,4,7,1956,GasA,Y,FuseA,952,1,2,1,4,0,Detchd,283,4,2008,Normal,135750,1904
50,RM,8635,Reg,Lvl,1Fam,1.5Fin,5,5,1948,GasA,Y,SBrkr,1285,1,2,1,6,0,Detchd,240,1,2008,Normal,127000,1957
90,RL,10778,Reg,Lvl,Duplex,1Story,4,5,1968,GasA,N,SBrkr,1768,2,4,2,8,0,,0,4,2010,Normal,136500,3536
50,RM,10440,Reg,Lvl,1Fam,2Story,5,6,1910,GasA,Y,SBrkr,1230,1,2,1,5,0,Detchd,440,5,2009,Normal,110000,1670
60,RL,13000,Reg,Lvl,1Fam,2Story,6,6,1968,GasA,Y,SBrkr,2142,2,4,1,8,1,Attchd,509,6,2009,Normal,193500,3038
120,RM,4500,Reg,Lvl,TwnhsE,1Story,6,5,1998,GasA,Y,SBrkr,1337,2,2,1,5,0,Attchd,405,3,2006,Normal,153500,2574
20,RL,10206,Reg,Lvl,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,1563,2,3,1,6,1,Attchd,758,10,2008,Normal,245000,3126
20,RL,8892,IR1,Lvl,1Fam,1Story,5,5,1960,GasA,Y,SBrkr,1065,1,3,1,6,0,Detchd,461,7,2007,Normal,126500,2130
80,RL,8530,IR1,Lvl,1Fam,SLvl,7,5,1995,GasA,Y,SBrkr,1474,2,3,1,7,1,BuiltIn,400,5,2009,Normal,168500,1858
60,RL,16059,Reg,Lvl,1Fam,2Story,8,5,1991,GasA,Y,SBrkr,2417,2,4,1,9,1,Attchd,462,4,2006,Normal,260000,3705
60,RL,11911,IR2,Lvl,1Fam,2Story,6,5,2005,GasA,Y,SBrkr,1560,2,3,1,6,1,BuiltIn,400,3,2009,Normal,174000,2244
160,FV,3951,Reg,Lvl,TwnhsE,2Story,6,5,2009,GasA,Y,SBrkr,1224,2,2,1,4,0,Detchd,528,6,2009,Partial,164500,1836
50,C (all),8470,IR1,Lvl,1Fam,1.5Fin,3,2,1915,GasA,N,SBrkr,1526,1,2,1,6,0,,0,10,2009,Abnorml,85000,2026
20,RL,8070,Reg,Lvl,1Fam,1Story,4,5,1994,GasA,Y,SBrkr,990,1,3,1,5,0,,0,8,2007,Normal,123600,1980
20,RL,7200,Reg,Lvl,1Fam,1Story,4,5,1950,GasA,Y,FuseA,1040,1,2,1,4,0,Detchd,420,7,2006,Normal,109900,1040
20,RL,8500,Reg,Lvl,1Fam,1Story,5,3,1961,GasA,Y,SBrkr,1235,1,2,1,6,0,Attchd,480,12,2006,Abnorml,98600,2470
30,RL,13360,IR1,HLS,1Fam,1Story,5,7,1921,GasA,Y,SBrkr,964,1,2,1,5,0,Detchd,432,8,2009,Normal,163500,1840
190,C (all),7200,Reg,Lvl,2fmCon,2.5Unf,6,6,1910,GasW,N,SBrkr,2291,2,4,2,9,1,Detchd,506,11,2007,Normal,133900,3505
60,RL,9337,IR1,Lvl,1Fam,2Story,6,5,1997,GasA,Y,SBrkr,1786,2,3,1,7,0,Attchd,684,5,2007,Normal,204750,2610
60,RL,9765,IR2,Lvl,1Fam,2Story,6,8,1993,GasA,Y,SBrkr,1470,2,3,1,6,1,BuiltIn,420,4,2009,Normal,185000,2150
20,RL,10264,IR1,Lvl,1Fam,1Story,7,5,1999,GasA,Y,SBrkr,1588,2,3,1,6,0,Attchd,472,8,2006,Normal,214000,3176
20,RL,10921,Reg,HLS,1Fam,1Story,4,5,1965,GasA,Y,FuseF,960,1,3,1,6,0,Attchd,432,5,2007,Normal,94750,1920
30,RL,10625,Reg,Lvl,1Fam,1Story,5,5,1920,GasA,N,SBrkr,835,1,2,1,5,0,Basment,366,5,2010,Abnorml,83000,1293
20,RL,9320,IR1,Lvl,1Fam,1Story,4,5,1959,GasA,Y,SBrkr,1225,1,3,1,6,0,,0,1,2010,Normal,128950,2175
20,RL,10603,IR1,Lvl,1Fam,1Story,6,7,1977,GasA,Y,SBrkr,1610,2,3,1,6,2,Attchd,480,2,2010,Normal,205000,3220
60,RL,9206,Reg,Lvl,1Fam,2Story,6,5,1985,GasA,Y,SBrkr,1732,2,3,1,7,1,Attchd,476,6,2010,Normal,178000,2473
90,RL,7018,Reg,Bnk,Duplex,1Story,5,5,1979,GasA,Y,SBrkr,1535,2,4,2,8,0,Attchd,410,6,2009,Alloca,118964,1535
20,RL,10402,IR1,Lvl,1Fam,1Story,7,5,2009,GasA,Y,SBrkr,1226,2,3,1,6,0,Attchd,740,5,2010,Normal,198900,2452
50,RM,7758,Reg,Lvl,1Fam,1.5Fin,7,4,1931,GasA,Y,FuseF,1818,1,4,1,7,2,Detchd,240,6,2007,Normal,169500,2858
60,FV,9375,Reg,Lvl,1Fam,2Story,8,5,2003,GasA,Y,SBrkr,1992,2,3,1,9,1,Attchd,648,8,2008,Normal,250000,3045
30,RM,10800,Reg,Lvl,1Fam,1Story,4,7,1885,GasA,Y,SBrkr,1047,1,2,1,6,0,Detchd,273,8,2007,Normal,100000,1688
20,RM,6000,Reg,Lvl,1Fam,1Story,5,5,1948,GasA,Y,SBrkr,789,1,2,1,5,0,Detchd,250,4,2008,Partial,115000,1578
50,RM,8500,Reg,Lvl,1Fam,1.5Fin,5,7,1919,GasW,N,FuseF,1517,2,3,1,7,0,,0,8,2007,Normal,115000,2310
20,RL,11751,IR1,Lvl,1Fam,1Story,6,6,1977,GasA,Y,SBrkr,1844,2,3,1,7,1,Attchd,546,1,2010,Normal,190000,3688
50,RL,9525,Reg,Lvl,1Fam,1.5Fin,6,4,1954,GasA,Y,SBrkr,1855,2,4,1,7,0,Attchd,325,10,2006,Normal,136900,2849
80,RL,7750,IR1,Lvl,1Fam,SLvl,7,5,2000,GasA,Y,SBrkr,1430,2,3,1,7,1,BuiltIn,400,4,2010,Normal,180000,1814
60,RL,9965,Reg,Lvl,1Fam,2Story,7,5,2007,GasA,Y,SBrkr,2696,2,4,1,10,1,BuiltIn,792,10,2007,Partial,383970,3960
20,RL,21000,Reg,Bnk,1Fam,1Story,6,5,1953,GasA,Y,SBrkr,2259,2,3,1,7,2,Basment,450,10,2007,Abnorml,217000,4068
70,RL,7259,IR1,Lvl,1Fam,2Story,6,8,1945,GasA,Y,SBrkr,2320,2,3,1,9,1,Detchd,180,7,2007,Normal,259500,3348
160,FV,3230,Reg,Lvl,TwnhsE,2Story,6,5,1999,GasA,Y,SBrkr,1458,2,2,1,5,1,Detchd,440,6,2007,Normal,176000,2187
20,RL,11616,Reg,Lvl,1Fam,1Story,5,5,1962,GasA,Y,SBrkr,1092,1,3,1,6,1,Attchd,288,9,2009,Normal,139000,2184
20,RL,8536,Reg,Lvl,1Fam,1Story,5,5,2006,GasA,Y,SBrkr,1125,1,2,1,5,0,Attchd,430,4,2007,Partial,155000,2250
60,RL,12376,Reg,Lvl,1Fam,2Story,7,5,1990,GasA,Y,SBrkr,3222,3,5,1,11,2,Attchd,594,5,2010,Normal,320000,4895
60,RL,8461,Reg,Lvl,1Fam,2Story,6,5,2005,GasA,Y,SBrkr,1456,2,3,1,8,1,Attchd,390,7,2006,Partial,163990,2184
80,RL,21453,IR1,Low,1Fam,SLvl,6,5,1969,GasA,Y,SBrkr,988,1,1,1,4,2,Attchd,540,10,2006,Normal,180000,1926
50,RM,6060,Reg,Lvl,1Fam,1.5Fin,4,5,1939,GasA,Y,SBrkr,1123,1,3,1,4,0,Detchd,264,6,2007,Normal,100000,1855
20,RL,9464,Reg,Lvl,1Fam,1Story,6,7,1958,GasA,Y,SBrkr,1080,1,3,1,5,0,Attchd,288,6,2008,Normal,136000,2160
120,RL,7892,Reg,Lvl,TwnhsE,1Story,6,5,1993,GasA,Y,SBrkr,1199,2,2,1,5,0,Attchd,530,3,2008,Normal,153900,2398
20,RL,17043,IR1,Lvl,1Fam,1Story,6,5,1979,GasA,Y,SBrkr,1586,2,3,1,7,1,Attchd,435,1,2009,Normal,181000,2948
190,RM,6780,Reg,Lvl,2fmCon,1.5Fin,6,8,1935,GasA,N,SBrkr,754,1,2,1,5,0,,0,6,2006,Normal,84500,1040
120,RL,4928,IR1,Lvl,TwnhsE,1Story,6,5,1976,GasA,Y,SBrkr,958,2,2,1,5,1,Attchd,440,2,2007,Normal,128000,2036
45,RM,4388,IR1,Bnk,1Fam,1.5Unf,5,7,1930,GasA,Y,SBrkr,840,1,3,1,5,1,,0,6,2007,Normal,87000,1512
60,RL,7590,Reg,Lvl,1Fam,2Story,6,5,1966,GasA,Y,SBrkr,1348,1,3,1,6,1,Attchd,453,7,2006,Normal,155000,2008
20,RL,8973,Reg,Lvl,1Fam,1Story,5,7,1958,GasA,Y,FuseA,1053,1,3,1,6,0,2Types,750,7,2006,Abnorml,150000,2061
60,RL,14200,Reg,Lvl,1Fam,2Story,7,6,1966,GasA,Y,SBrkr,2157,2,4,1,8,2,Attchd,487,5,2006,Normal,226000,3081
60,RL,12224,IR1,Lvl,1Fam,2Story,6,5,2000,GasA,Y,SBrkr,2054,2,3,1,7,1,BuiltIn,390,7,2009,Normal,244000,3046
20,RL,7388,Reg,Lvl,1Fam,1Story,5,6,1959,GasA,Y,SBrkr,1327,1,3,1,7,0,Detchd,624,7,2007,Normal,150750,2390
20,RL,6853,IR1,Lvl,1Fam,1Story,8,5,2001,GasA,Y,SBrkr,1296,2,2,1,6,0,Attchd,471,6,2009,Normal,220000,2563
20,RL,10335,IR1,Lvl,1Fam,1Story,5,6,1968,GasA,Y,SBrkr,1721,2,3,1,7,1,Attchd,440,7,2006,Normal,180000,3182
20,RL,10400,Reg,Lvl,1Fam,1Story,7,6,1970,GasA,Y,SBrkr,1682,2,3,1,7,1,Attchd,530,5,2008,Normal,174000,2986
20,RL,10355,IR1,Lvl,1Fam,1Story,5,5,1967,GasA,Y,SBrkr,1214,2,3,1,5,1,Attchd,318,7,2007,Normal,143000,2428
90,RL,11070,Reg,Lvl,Duplex,1Story,7,5,1988,GasA,Y,SBrkr,1959,3,5,2,9,0,2Types,766,7,2006,Family,171000,3866
60,RL,9066,IR1,Lvl,1Fam,2Story,8,5,1999,GasA,Y,SBrkr,1852,2,3,1,7,2,Attchd,660,12,2008,Normal,230000,2856
60,RL,15426,IR1,Lvl,1Fam,2Story,6,5,1997,GasA,Y,SBrkr,1764,2,3,1,7,0,Attchd,470,8,2009,Normal,231500,2692
20,RL,10500,Reg,Lvl,1Fam,1Story,4,5,1971,GasA,Y,SBrkr,864,1,3,1,5,1,,0,4,2010,Normal,115000,1728
20,RL,11645,Reg,Lvl,1Fam,1Story,7,5,2005,GasA,Y,SBrkr,1734,2,3,1,7,0,Attchd,660,1,2006,Normal,260000,3468
50,RL,8520,Reg,Lvl,1Fam,1.5Fin,5,4,1952,GasA,Y,SBrkr,1385,2,4,1,6,0,Detchd,720,6,2010,Normal,166000,2295
20,RL,10335,IR1,Lvl,1Fam,1Story,7,5,1999,GasA,Y,SBrkr,1501,2,3,1,6,0,Attchd,577,6,2009,Normal,204000,2991
90,RM,9100,Reg,Lvl,Duplex,1Story,5,5,1963,GasA,Y,SBrkr,1728,2,6,2,10,0,Detchd,504,11,2006,Abnorml,125000,3456
160,RM,2522,Reg,Lvl,Twnhs,2Story,6,5,2004,GasA,Y,SBrkr,1709,2,3,1,7,0,Detchd,380,4,2006,Normal,130000,2679
30,RM,6120,Reg,Lvl,1Fam,1Story,5,7,1931,GasA,Y,FuseA,875,1,2,1,5,0,Detchd,180,11,2009,Normal,105000,1590
60,RL,9505,IR1,Lvl,1Fam,2Story,7,5,2001,GasA,Y,SBrkr,2035,2,3,1,8,1,BuiltIn,434,5,2010,Normal,222500,2919
20,RL,7500,Reg,Lvl,1Fam,1Story,7,5,2004,GasA,Y,SBrkr,1080,1,3,1,6,0,,0,4,2008,Normal,141000,2160
50,RM,6240,Reg,Lvl,1Fam,1.5Fin,5,4,1936,GasA,Y,FuseA,1344,1,3,1,7,0,Detchd,240,4,2006,Normal,115000,2240
20,RL,10356,Reg,Lvl,1Fam,1Story,5,6,1975,GasA,Y,SBrkr,969,1,3,1,5,0,Attchd,440,1,2007,Normal,122000,1938
20,RL,13891,Reg,Lvl,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,1710,2,2,1,6,1,Attchd,866,1,2008,Partial,372402,3420
60,RL,14803,IR1,Lvl,1Fam,2Story,6,5,1971,GasA,Y,SBrkr,1993,2,4,1,8,1,Attchd,495,6,2006,Normal,190000,2818
20,RL,13500,Reg,Lvl,1Fam,1Story,6,7,1960,GasA,Y,SBrkr,1252,1,1,1,4,1,Attchd,564,3,2008,Normal,235000,2854
30,RM,11340,Reg,Lvl,1Fam,1Story,6,5,1923,GasA,Y,FuseA,1200,1,4,1,7,0,Detchd,312,3,2006,Family,125000,2400
50,RL,9600,Reg,Lvl,1Fam,1.5Fin,6,5,1924,Grav,N,FuseF,1096,1,2,1,5,0,,0,4,2008,Normal,79000,1668
20,RL,7200,Reg,Lvl,1Fam,1Story,5,7,1950,GasA,Y,FuseF,1040,1,2,1,5,0,Detchd,625,6,2006,Normal,109500,1040
60,RL,12003,Reg,Lvl,1Fam,2Story,8,5,2009,GasA,Y,SBrkr,1968,2,4,1,8,1,BuiltIn,680,5,2010,Partial,269500,2742
60,FV,12552,Reg,Lvl,1Fam,2Story,7,5,2004,GasA,Y,SBrkr,1947,2,3,1,8,1,Attchd,678,5,2010,Normal,254900,2938
60,RL,19378,IR1,HLS,1Fam,2Story,7,5,2005,GasA,Y,SBrkr,2462,2,4,1,9,1,Attchd,576,3,2006,Partial,320000,3854
20,RL,11120,IR1,Lvl,1Fam,1Story,6,6,1984,GasA,Y,SBrkr,1232,2,3,1,6,0,Attchd,516,6,2008,Normal,162500,2464
60,RL,13688,IR1,Lvl,1Fam,2Story,9,5,2003,GasA,Y,SBrkr,2668,2,3,1,10,2,BuiltIn,726,3,2008,Normal,412500,4240
20,RL,12182,Reg,Lvl,1Fam,1Story,7,5,2005,GasA,Y,SBrkr,1541,2,3,1,7,1,Attchd,532,5,2010,Partial,220000,3082
45,RL,5500,Reg,Lvl,1Fam,1.5Unf,4,6,1956,GasA,Y,SBrkr,882,1,1,1,4,0,,0,4,2007,Normal,103200,1764
40,RM,5400,Reg,Lvl,1Fam,1Story,6,7,1926,GasA,Y,FuseA,1616,2,3,1,5,0,Detchd,216,10,2007,Normal,152000,2765
190,RL,10106,Reg,Lvl,2fmCon,1.5Fin,5,7,1940,GasA,Y,SBrkr,1355,2,4,2,6,0,,0,9,2008,Normal,127500,1999
20,RL,10708,IR1,Lvl,1Fam,1Story,5,5,1955,GasA,Y,FuseA,1867,1,2,1,7,3,Attchd,303,11,2009,Normal,190000,3484
60,RL,10562,Reg,Lvl,1Fam,2Story,8,5,2007,GasA,Y,SBrkr,2161,1,3,1,8,1,Attchd,789,11,2007,Partial,325624,3743
